content,score,at,translated_review
"Kesalahan Koneksi twrus min..padahal ga ada vpn atau proxy.. Solusinya gimana ini ,udah di re instal tetep ga bisa nonton juga.jadi rugi bayar mahal mahal.",1,2024-12-24 06:22:51,twrus connection error min even though vpn proxy solution already installed still cant watch expensive pay expensive
"Hostar sekarang sungguh mengecewakan. Hasil unduhan bisa tiba2 hilang, buffering lama padahal kuota normal dan aplikasi sering error. Mohon dibenahi. Sayang banget padahal filmnya bagus bagus.",2,2024-12-24 05:35:41,hostar really disappointing download result suddenly disappear long buffering even though quota normal application often error please add shame even though film good
Aplikasi ny gc bgus gc bisa nautkan no hp gc jls,1,2024-12-24 03:09:51,ny gc bgus gc application naire hp gc jls
apk gk guna,1,2024-12-23 21:06:38,apk gk guna
Waduh rek rek kudu anggo kartu telkomsel to maaf salah,1,2024-12-23 15:42:15,wow rek rek kudu anggo telkomsel card sorry wrong
Sangad buruk pelayanan cs nya ribet,1,2024-12-23 12:33:06,bad c service complicated
"Ini kenapa jadi ga bisa nonton ? Perasaan saya ga pake vpn, bahkan di tv ga pernah buka2 vpn ga bisa juga Sayang duitnya 65rb nih baru juga bayar udah ga bisa di buka",1,2024-12-23 11:36:11,cant watch feel dont use vpn even tv never open vpn cant also shame money rb paying cant opened
"woy saya ga minta buat bayar ini, saya isi saldo buat beli baranh penting buka bayar ini malah kebayar sendiri aplikasi gimana sih kembalikan uang saya",1,2024-12-23 05:48:56,wow dont ask pay fill balance buy important baranh open pay instead paid application return money
"Udh ambil paket nonton di Telkomsel, eh pas nonton ga muncul2 gambarnya malah muter-muter terus. Padahal sinyal lancar dan paket data masih byk, gila gimana nih aku nonton kalo ga jalan videonya masih muter-muter terus loading.",1,2024-12-23 04:43:21,took watch package telkomsel eh watching picture didnt appear instead continued go around even though signal smooth data package still many crazy watch dont walk video still go around keep loading
Bad version,1,2024-12-22 18:42:07,bad version
Gak bisa login acan,1,2024-12-22 16:02:04,cant login acan
Tolong perbaiki lgi Mohon maaf ini hasil unduhan kok ndak bsa di tonton scara offline gmna konsepnya y,1,2024-12-22 15:54:19,please fix im sorry come result watched offline come concept
Aneh banget ga bisa login di tablet. Udah coba berkali pun tetep ga bisa.,1,2024-12-22 15:16:53,really strange able log tablet already trying many time still cant
"Aplikasi gamau rugi, mahal banget bayarnya, gak ngotak",1,2024-12-22 12:14:24,appetite app cost expensive pay mention
Ga rekomen bgt login nya ribet bgt. Ngeribetin udh Gunta ganti nomor ttp aja gabisa masuk.. Aplikasi ribet pollll,1,2024-12-22 08:21:29,recommended login complicated ngebetin already gunta change number ttp cant enter complicated pollll application
Lemot,1,2024-12-22 06:07:58,slow
"Gabisa beli perhari / perminggu, bintang 1",1,2024-12-22 04:47:33,cant buy day week star
"Please fix the connection issued and streaming always buffering and black screen, while i was use my phone for streaming is bad, while i was use my smart tv actually work well, i hope your application work well on phone too",1,2024-12-22 04:17:14,please fix connection issued streaming always buffering black screen use phone streaming bad use smart tv actually work well hope application work well phone
"ini kenapa saya lagi nonton film yang saya download tiba-tiba translate sama percakapan di filmnya masih ada tapi gak ada gambar cuman hitam doang, aneh banget padahal saya premium tapi bikin kecewa, pdhl lagi seru serunya nonton malah kek gitu",1,2024-12-22 03:03:19,watching movie downloaded suddenly translate conversation film still exists picture black really strange even though premium make disappointed pdhl exclaimed watch instead like
Aplikasi jelek katanya,1,2024-12-22 01:27:03,bad application said
Tayangan nya menjijikkan,1,2024-12-21 13:48:07,show disgusting
RCIT,2,2024-12-21 12:01:57,rcit
"Ya kali, masa layarnya hitam doang. kita disuruh dengerin suara aja gtu? Udah coba ini itu, tetap aja hitam layarnya. Suaranya doang yg muncul 🤧",1,2024-12-21 10:50:47,yes screen black told listen sound like already try still black screen voice emerged 🤧
KODE OTP NYA SALAH MULU KOCAGGHGGHG,1,2024-12-21 09:52:22,holly letiting
"Mau langganan aplikasi ini, tapi pas mau masuk ke aplikasi kok tulisannya error, udah masukin kode OTP yang di kasih dari pesan tapi tetap aja tidak bisa, tulisannya error terus, padahal mau nonton MCU ;(",1,2024-12-21 09:24:04,want subscribe application want enter application writing error entered otp code given message still cant writing kept even though want watch mcu
"Langganan gk teebaca di google tau2 kepotong, terus akun gk sengaja keluar mau masuk lg gk bisa karena otp gk dikirim2 berkali-kali coba otp gk dpt",1,2024-12-21 08:35:29,gk subscription read google cut piece account doesnt deliberately come able otp sent many time trying otp
apj stream tergajelas loginnya aneh,1,2024-12-21 06:36:15,apj streaming clear login strange
Kode otp udah masuk pas dimasukin gk bisa apalah,1,2024-12-21 05:55:04,otp code entered pa entered gk
